state,time,target,sense_t,sense_b,cmd,cmd_t,cmd_b
idle,0.000000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,0.250000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,0.500000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,0.750000,0.000000,18.500000,19.000000,0.000000,0.000000,0.000000
idle,1.000000,0.000000,18.500000,18.750000,0.000000,0.000000,0.000000
idle,1.250000,0.000000,18.250000,18.750000,0.000000,0.000000,0.000000
idle,1.500000,0.000000,18.000000,19.000000,0.000000,0.000000,0.000000
idle,1.750000,0.000000,18.000000,19.000000,0.000000,0.000000,0.000000
idle,2.000000,0.000000,18.500000,19.500000,0.000000,0.000000,0.000000
idle,2.250000,0.000000,18.500000,19.500000,0.000000,0.000000,0.000000
idle,2.500000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,2.750000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,3.000000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,3.250000,0.000000,18.750000,19.250000,0.000000,0.000000,0.000000
idle,3.500000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,3.750000,0.000000,18.500000,19.000000,0.000000,0.000000,0.000000
idle,4.000000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,4.250000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,4.500000,0.000000,18.000000,19.250000,0.000000,0.000000,0.000000
idle,4.750000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,5.000000,0.000000,18.500000,19.000000,0.000000,0.000000,0.000000
idle,5.250000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,5.500000,0.000000,18.000000,19.250000,0.000000,0.000000,0.000000
idle,5.750000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,6.000000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,6.250000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,6.500000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,6.750000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,7.000000,0.000000,18.000000,19.250000,0.000000,0.000000,0.000000
idle,7.250000,0.000000,18.000000,19.000000,0.000000,0.000000,0.000000
idle,7.500000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,7.750000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,8.000000,0.000000,18.250000,18.750000,0.000000,0.000000,0.000000
idle,8.250000,0.000000,18.250000,18.750000,0.000000,0.000000,0.000000
idle,8.500000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,8.750000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,9.000000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,9.250000,0.000000,18.000000,19.250000,0.000000,0.000000,0.000000
idle,9.500000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,9.750000,0.000000,18.500000,19.250000,0.000000,0.000000,0.000000
idle,10.000000,0.000000,18.750000,19.000000,0.000000,0.000000,0.000000
idle,10.250000,0.000000,18.500000,19.000000,0.000000,0.000000,0.000000
idle,10.500000,0.000000,18.000000,19.000000,0.000000,0.000000,0.000000
idle,10.750000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,11.000000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,11.250000,0.000000,18.250000,19.250000,0.000000,0.000000,0.000000
idle,11.500000,0.000000,18.250000,19.000000,0.000000,0.000000,0.000000
idle,11.750000,0.000000,18.500000,18.750000,0.000000,0.000000,0.000000
